epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.06443,2.89799,4.25695,1.99417,0.00225,0.225,0.01775,0.00476,2.8789,3.82831,2.14081,5.716e-05,5.716e-05,5.716e-05
2,3.91457,2.59609,4.13908,1.83626,0.00359,0.325,0.15446,0.07656,1.96864,3.60903,1.80226,0.000126064,0.000126064,0.000126064
3,5.20349,1.81252,3.22988,1.43402,0.00495,0.36667,0.22177,0.0885,1.66171,3.40066,1.52974,0.000192138,0.000192138,0.000192138
4,6.45438,1.7022,2.25578,1.29592,0.00609,0.34167,0.28003,0.10407,1.62198,3.28676,1.54562,0.000255382,0.000255382,0.000255382
5,7.71043,1.57971,1.74399,1.20779,0.00742,0.375,0.32153,0.16922,1.38971,3.15489,1.26601,0.000315798,0.000315798,0.000315798
6,8.99996,1.52514,1.47132,1.17394,0.00749,0.35833,0.3072,0.17183,1.3688,3.19412,1.23358,0.000373383,0.000373383,0.000373383
7,10.2706,1.48118,1.38778,1.1678,0.96897,0.16244,0.34545,0.18573,1.36271,2.98851,1.21339,0.00042814,0.00042814,0.00042814
8,11.5532,1.46137,1.30439,1.1591,0.95145,0.26667,0.50506,0.23984,1.48276,2.84671,1.29175,0.000480067,0.000480067,0.000480067
9,12.7623,1.58489,1.29843,1.16834,0.98471,0.17337,0.59559,0.31502,1.41444,2.85607,1.2509,0.000529164,0.000529164,0.000529164
10,13.9797,1.49736,1.27743,1.16554,0.83791,0.26667,0.42761,0.21509,1.48916,2.90329,1.31602,0.000575433,0.000575433,0.000575433
11,15.1985,1.46602,1.16784,1.15581,0.90099,0.26667,0.57186,0.33493,1.43007,2.78003,1.22395,0.000618871,0.000618871,0.000618871
12,16.3969,1.4326,1.18694,1.13562,0.92664,0.33333,0.62109,0.34749,1.44308,2.62084,1.23958,0.000659481,0.000659481,0.000659481
13,17.6386,1.44659,1.14371,1.14843,0.90066,0.31667,0.71309,0.37417,1.48195,2.47188,1.24451,0.000697261,0.000697261,0.000697261
14,18.8013,1.45259,1.15308,1.15957,0.90736,0.33333,0.91652,0.51809,1.40103,2.37902,1.23606,0.000732211,0.000732211,0.000732211
15,20.0596,1.4325,1.13222,1.13476,0.83885,0.35368,0.93517,0.49842,1.43785,2.18888,1.26349,0.000764332,0.000764332,0.000764332
